1323 東証ETF (NEXT FUNDS)南アフリカ株式指数上場投信（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","319","319","303","315","5400","315"
"2016-01-05","314","314","313","313","700","313"
"2016-01-06","310","310","307","307","4500","307"
"2016-01-07","307","307","300","300","2700","300"
"2016-01-08","295","297","295","297","3100","297"
"2016-01-12","295","295","285","285","6400","285"
"2016-01-13","286","286","286","286","200","286"
"2016-01-14","286","289","286","286","700","286"
"2016-01-15","285","285","285","285","100","285"
"2016-01-18","283","285","283","283","3200","283"
"2016-01-19","283","283","283","283","1000","283"
"2016-01-20","283","284","270","270","4800","270"
"2016-01-21","270","273","265","265","7000","265"
"2016-01-22","265","268","263","268","4800","268"
"2016-01-25","270","275","270","275","16300","275"
"2016-01-26","275","275","274","275","400","275"
"2016-01-27","280","282","280","282","400","282"
"2016-01-28","287","287","286","286","6000","286"
"2016-01-29","287","288","287","288","200","288"
"2016-02-01","292","295","290","295","2000","295"
"2016-02-02","301","310","301","303","2500","303"
"2016-02-03","300","300","291","291","900","291"
"2016-02-04","298","300","298","300","300","300"
"2016-02-05","301","301","298","298","500","298"
"2016-02-08","301","302","297","297","800","297"
"2016-02-09","300","300","299","299","1400","299"
"2016-02-10","302","302","285","285","2400","285"
"2016-02-12","269","274","266","267","4400","267"
"2016-02-15","296","296","296","296","1200","296"
"2016-02-16","272","296","272","296","300","296"
"2016-02-17","296","296","280","280","400","280"
"2016-02-18","282","284","282","284","2900","284"
"2016-02-19","281","282","281","281","700","281"
"2016-02-22","281","281","281","281","100","281"
"2016-02-23","283","291","280","280","2400","280"
"2016-02-24","289","289","289","289","100","289"
"2016-02-25","277","277","277","277","100","277"
"2016-02-26","290","293","287","287","1200","287"
"2016-02-29","282","282","282","282","100","282"
"2016-03-01","281","281","281","281","200","281"
"2016-03-02","297","297","288","288","500","288"
"2016-03-03","290","290","290","290","100","290"
"2016-03-04","296","296","292","295","900","295"
"2016-03-07","298","304","298","304","2200","304"
"2016-03-08","305","305","303","305","1900","305"
"2016-03-09","300","300","299","299","300","299"
"2016-03-10","305","305","305","305","100","305"
"2016-03-11","306","321","304","304","4900","304"
"2016-03-14","311","313","311","313","200","313"
"2016-03-15","313","313","310","310","300","310"
"2016-03-16","310","311","310","311","1000","311"
"2016-03-17","319","319","313","317","1200","317"
"2016-03-22","318","319","318","319","700","319"
"2016-03-23","322","322","322","322","800","322"
"2016-03-24","322","322","322","322","800","322"
"2016-03-25","322","322","321","321","300","321"
"2016-03-28","320","320","311","320","8100","320"
"2016-03-29","313","313","313","313","100","313"
"2016-03-31","318","318","315","315","1700","315"
"2016-04-01","318","320","318","320","400","320"
"2016-04-04","308","309","308","308","2900","308"
"2016-04-05","308","308","308","308","100","308"
"2016-04-06","303","311","291","311","1500","311"
"2016-04-07","319","324","319","324","1100","324"
"2016-04-08","318","319","318","319","4100","319"
"2016-04-11","321","321","316","316","1600","316"
"2016-04-12","317","317","317","317","100","317"
"2016-04-13","318","318","308","308","900","308"
"2016-04-14","308","324","308","324","900","324"
"2016-04-15","324","325","324","325","300","325"
"2016-04-18","325","325","325","325","900","325"
"2016-04-20","317","317","311","312","500","312"
"2016-04-21","320","325","317","317","3400","317"
"2016-04-22","324","324","311","311","300","311"
"2016-04-25","303","308","303","308","1400","308"
"2016-04-28","315","315","309","309","500","309"
"2016-05-02","302","320","302","304","800","304"
"2016-05-06","304","304","304","304","400","304"
"2016-05-09","304","304","304","304","3600","304"
"2016-05-10","311","311","311","311","200","311"
"2016-05-11","304","304","304","304","100","304"
"2016-05-12","304","304","304","304","100","304"
"2016-05-13","311","311","311","311","100","311"
"2016-05-16","305","305","305","305","700","305"
"2016-05-18","310","310","310","310","100","310"
"2016-05-19","307","308","307","308","300","308"
"2016-05-20","310","310","310","310","700","310"
"2016-05-23","310","310","310","310","500","310"
"2016-05-24","318","318","318","318","500","318"
"2016-05-25","318","318","312","312","800","312"
"2016-05-26","316","316","316","316","1300","316"
"2016-05-31","323","323","313","313","1300","313"
"2016-06-01","321","321","321","321","100","321"
"2016-06-02","306","306","306","306","300","306"
"2016-06-03","307","308","307","307","700","307"
"2016-06-06","315","315","310","310","5500","310"
"2016-06-07","309","317","309","316","400","316"
"2016-06-09","316","316","316","316","300","316"
"2016-06-10","316","316","316","316","100","316"
"2016-06-13","316","316","316","316","100","316"
"2016-06-15","300","312","284","312","3600","312"
"2016-06-16","311","311","311","311","100","311"
"2016-06-17","310","310","308","308","300","308"
"2016-06-20","308","308","308","308","100","308"
"2016-06-21","300","309","300","309","6000","309"
"2016-06-23","302","302","302","302","100","302"
"2016-06-24","303","328","266","268","17600","268"
"2016-06-27","270","288","270","281","4000","281"
"2016-06-28","291","291","283","287","700","287"
"2016-06-29","293","293","292","292","600","292"
"2016-06-30","292","299","292","299","800","299"
"2016-07-01","283","291","283","291","200","291"
"2016-07-04","300","300","299","299","2500","299"
"2016-07-05","299","299","287","287","1200","287"
"2016-07-06","301","301","299","299","800","299"
"2016-07-07","299","299","287","287","600","287"
"2016-07-08","281","285","281","285","400","285"
"2016-07-11","302","302","302","302","200","302"
"2016-07-12","304","304","303","304","800","304"
"2016-07-14","301","301","298","298","900","298"
"2016-07-15","302","310","302","310","1900","310"
"2016-07-19","302","312","302","312","1800","312"
"2016-07-20","313","313","313","313","100","313"
"2016-07-21","313","313","311","311","400","311"
"2016-07-25","338","338","323","324","17700","324"
"2016-07-26","324","333","324","324","1800","324"
"2016-08-01","306","310","305","310","1400","310"
"2016-08-02","318","318","318","318","100","318"
"2016-08-08","316","322","316","322","800","322"
"2016-08-09","328","328","328","328","100","328"
"2016-08-10","330","330","322","322","2800","322"
"2016-08-12","328","334","328","330","1200","330"
"2016-08-15","335","335","327","334","800","334"
"2016-08-17","323","330","322","323","4000","323"
"2016-08-18","312","322","312","322","1100","322"
"2016-08-23","312","312","312","312","500","312"
"2016-08-24","309","321","309","309","700","309"
"2016-08-25","308","316","308","313","1300","313"
"2016-08-26","310","310","306","306","500","306"
"2016-08-29","314","314","314","314","700","314"
"2016-08-30","306","312","306","312","200","312"
"2016-08-31","320","320","320","320","200","320"
"2016-09-01","312","312","309","309","900","309"
"2016-09-02","317","317","308","314","2400","314"
"2016-09-05","311","313","311","313","300","313"
"2016-09-07","310","311","310","310","2800","310"
"2016-09-08","310","315","310","315","3900","315"
"2016-09-09","312","312","309","309","1300","309"
"2016-09-12","308","308","302","303","4300","303"
"2016-09-13","308","308","308","308","200","308"
"2016-09-14","305","305","300","300","1800","300"
"2016-09-15","302","302","302","302","200","302"
"2016-09-16","309","309","309","309","300","309"
"2016-09-20","311","311","309","309","2200","309"
"2016-09-21","301","301","301","301","200","301"
"2016-09-23","301","301","301","301","200","301"
"2016-09-26","314","314","312","312","400","312"
"2016-09-27","311","311","301","304","600","304"
"2016-09-29","312","312","308","312","700","312"
"2016-10-03","305","305","305","305","500","305"
"2016-10-04","311","311","311","311","500","311"
"2016-10-05","303","311","303","311","400","311"
"2016-10-06","309","309","309","309","500","309"
"2016-10-07","307","307","300","300","1100","300"
"2016-10-11","298","307","298","299","800","299"
"2016-10-12","301","301","300","300","700","300"
"2016-10-13","298","298","298","298","100","298"
"2016-10-17","298","300","295","300","1900","300"
"2016-10-19","299","299","299","299","100","299"
"2016-10-21","300","300","298","298","400","298"
"2016-10-24","305","305","305","305","700","305"
"2016-10-25","305","306","305","305","10200","305"
"2016-10-26","308","308","308","308","100","308"
"2016-10-27","308","308","308","308","100","308"
"2016-10-28","305","305","305","305","100","305"
"2016-10-31","305","305","305","305","200","305"
"2016-11-02","313","313","305","305","400","305"
"2016-11-04","303","303","303","303","700","303"
"2016-11-07","295","297","295","297","800","297"
"2016-11-08","298","298","298","298","300","298"
"2016-11-09","310","310","298","298","2100","298"
"2016-11-10","312","312","303","303","300","303"
"2016-11-11","303","303","303","303","200","303"
"2016-11-14","295","296","286","294","4100","294"
"2016-11-15","293","293","292","293","600","293"
"2016-11-16","289","292","289","292","700","292"
"2016-11-17","294","294","290","290","800","290"
"2016-11-18","294","294","291","291","700","291"
"2016-11-21","295","295","295","295","100","295"
"2016-11-22","297","311","297","306","500","306"
"2016-11-24","306","310","306","310","1000","310"
"2016-11-25","306","306","306","306","400","306"
"2016-11-28","306","306","306","306","600","306"
"2016-11-29","299","306","299","306","1200","306"
"2016-11-30","309","309","309","309","400","309"
"2016-12-01","302","309","302","309","800","309"
"2016-12-02","310","310","307","307","300","307"
"2016-12-05","310","310","305","305","2800","305"
"2016-12-06","305","305","305","305","1100","305"
"2016-12-07","306","310","306","310","200","310"
"2016-12-08","310","310","310","310","100","310"
"2016-12-09","310","310","304","309","1600","309"
"2016-12-12","310","311","310","311","1600","311"
"2016-12-13","312","314","312","314","3800","314"
"2016-12-14","312","316","311","316","2400","316"
"2016-12-15","313","316","312","312","3400","312"
"2016-12-16","315","315","314","315","1100","315"
"2016-12-19","315","316","315","316","1800","316"
"2016-12-21","318","318","313","313","1700","313"
"2016-12-22","313","317","312","312","1200","312"
"2016-12-26","312","312","312","312","600","312"
"2016-12-27","316","316","315","316","1600","316"
"2016-12-28","315","315","315","315","200","315"
"2016-12-29","318","318","310","311","1400","311"
"2016-12-30","319","329","318","325","2900","325"